task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar	cpus
1	b0/b5f89d	65681787	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (CCS15-ONT)	CACHED	0	2026-01-08 17:46:29.547	45.8s	0ms	20.6%	4.7 MB	8.6 MB	245.3 KB	14.6 KB	1
2	71/e7c51a	65681786	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (CCS15-ONT)	CACHED	0	2026-01-08 17:46:21.366	53.9s	0ms	16.7%	7.5 MB	18.8 MB	245.3 KB	14.4 KB	1
25	df/465564	65681814	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:WGET (r1041_e82_400bps_sup_v520)	CACHED	0	2026-01-08 17:50:19.784	1m 11s	1.3s	18.1%	12.5 MB	18.1 MB	71.7 MB	71.3 MB	1
4	3d/568044	65681808	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:SAMTOOLS_FAIDX (Homo_sapiens_assembly38_masked_noALT.fasta)	CACHED	0	2026-01-08 17:49:39.533	35.8s	8s	91.4%	6.1 MB	10.7 MB	2.9 GB	122.9 KB	1
69	22/4bf915	65681865	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:UNTAR (r1041_e82_400bps_sup_v520.tar.gz)	CACHED	0	2026-01-08 17:57:29.520	50.8s	2.7s	53.2%	13.7 MB	27.4 MB	297.2 MB	232 MB	1
9	62/239b87	65681789	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (CCS15-PB)	CACHED	0	2026-01-08 17:46:49.553	15.8s	1s	2.4%	7.6 MB	18.7 MB	235.5 KB	4.7 KB	1
24	87/4eb95f	65681812	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:WGET (hifi)	CACHED	0	2026-01-08 17:50:09.561	1m 21s	10.2s	1.5%	12.7 MB	18.1 MB	34.7 MB	34.2 MB	1
3	db/5a6198	65681788	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (CCS15-ONT-TO)	CACHED	0	2026-01-08 17:46:39.551	35.8s	0ms	21.0%	3 MB	4.3 MB	245.3 KB	14.6 KB	1
68	8e/65d332	65681866	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:UNTAR (hifi.tar.gz)	CACHED	0	2026-01-08 17:57:39.586	35.8s	1.8s	43.2%	10.1 MB	23.9 MB	145.7 MB	116 MB	1
11	9f/4f4fde	65681792	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (CCS15-PB-TO)	CACHED	0	2026-01-08 17:47:09.517	1m 1s	0ms	17.2%	3.1 MB	4.3 MB	235.5 KB	4.7 KB	1
10	39/001cdb	65681791	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (CCS15-PB)	CACHED	0	2026-01-08 17:46:59.546	1m 11s	0ms	14.2%	7.7 MB	18.7 MB	235.5 KB	4.7 KB	1
12	f2/2a986a	65681793	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (HG008-PB)	CACHED	0	2026-01-08 17:47:19.536	50.8s	0ms	20.0%	7.5 MB	18.8 MB	236.2 KB	5.3 KB	1
14	b8/7a3a72	65681795	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (HG008-ONT)	CACHED	0	2026-01-08 17:47:39.537	30.8s	0ms	21.2%	6.3 MB	14.8 MB	245.1 KB	3.7 KB	1
26	d1/67f654	65681815	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:WGET (r1041_e82_400bps_sup_v420)	CACHED	0	2026-01-08 17:50:29.523	45.8s	560ms	38.7%	11.8 MB	17.8 MB	72.3 MB	71.8 MB	1
13	f0/108802	65681794	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (HG008-PB)	CACHED	0	2026-01-08 17:47:29.585	45.7s	0ms	25.9%	6.3 MB	14.8 MB	236.2 KB	5.3 KB	1
67	9f/d79033	65681864	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:UNTAR (r1041_e82_400bps_sup_v420.tar.gz)	CACHED	0	2026-01-08 17:57:19.528	1m 1s	1.5s	94.3%	11.8 MB	23.9 MB	298.2 MB	232 MB	1
16	5c/c790fc	65681800	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (COLO829-ONT)	CACHED	0	2026-01-08 17:48:19.582	50.7s	0ms	22.6%	4.6 MB	8.6 MB	251.1 KB	11.8 KB	1
27	43/5cae12	65681816	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:WGET (r1041_e82_400bps_sup_v430)	CACHED	0	2026-01-08 17:50:39.995	30.3s	596ms	36.5%	11.7 MB	17.9 MB	72.2 MB	71.8 MB	1
65	05/c8cb52	65681863	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:UNTAR (r1041_e82_400bps_sup_v430.tar.gz)	CACHED	0	2026-01-08 17:57:09.520	1m 6s	1.7s	94.3%	11.9 MB	23.9 MB	298.2 MB	232 MB	1
15	58/262cf2	65681796	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (HG008-ONT)	CACHED	0	2026-01-08 17:47:49.540	20.8s	0ms	25.0%	4.5 MB	8.6 MB	245.1 KB	3.7 KB	1
18	e6/24c3b7	65681799	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (COLO829-PB)	CACHED	0	2026-01-08 17:48:09.530	1m 6s	1s	26.6%	6.5 MB	14.8 MB	236.4 KB	5.5 KB	1
7	23/c68cdb	65681806	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:UNZIP_LOCI (G1000_loci_hg38.zip)	CACHED	0	2026-01-08 17:49:19.732	55.6s	1s	81.6%	6.2 MB	10.8 MB	8.3 MB	33.1 MB	1
17	54/4ba0d7	65681797	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (COLO829-ONT)	CACHED	0	2026-01-08 17:47:59.604	1m 16s	0ms	20.8%	7.6 MB	18.8 MB	246.1 KB	10.5 KB	1
5	2b/83f2cb	65681810	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:UNZIP_GC (GC_G1000_hg38.zip)	CACHED	0	2026-01-08 17:49:59.662	1m 21s	3s	92.1%	10.1 MB	19.7 MB	100.1 MB	345.6 MB	1
20	71/52a3c7	65681802	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (HG008-PB-TO)	CACHED	0	2026-01-08 17:48:39.535	35.8s	0ms	22.4%	3 MB	4.3 MB	236.2 KB	5.3 KB	1
19	98/93823e	65681801	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (COLO829-PB)	CACHED	0	2026-01-08 17:48:29.521	40.8s	1s	4.3%	7.7 MB	18.8 MB	236.4 KB	5.5 KB	1
8	ed/27b850	65681809	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:UNZIP_RT (RT_G1000_hg38.zip)	CACHED	0	2026-01-08 17:49:49.565	30.8s	3s	95.3%	10.6 MB	19.7 MB	101.6 MB	387.4 MB	1
6	2f/607eb2	65681807	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:UNZIP_ALLELES (G1000_alleles_hg38.zip)	CACHED	0	2026-01-08 17:49:29.513	40.8s	1s	81.2%	6.2 MB	10.8 MB	9.9 MB	30 MB	1
22	bd/5c63ab	65681803	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (COLO829-ONT-TO)	CACHED	0	2026-01-08 17:48:49.550	20.8s	0ms	26.9%	3 MB	4.3 MB	251.1 KB	11.8 KB	1
21	b1/25f39d	65681805	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (HG008-ONT-TO)	CACHED	0	2026-01-08 17:49:09.520	1m 11s	1s	26.1%	3 MB	4.3 MB	245.1 KB	3.7 KB	1
28	7a/7d9097	65681817	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:WGET (r1041_e82_400bps_sup_v420)	CACHED	0	2026-01-08 17:50:49.528	20.8s	693ms	38.3%	12.6 MB	18.1 MB	71.9 MB	71.5 MB	1
23	41/66ae32	65681804	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:METAEXTRACT (COLO829-PB-TO)	CACHED	0	2026-01-08 17:48:59.549	1m 11s	1s	21.0%	3.1 MB	4.3 MB	236.4 KB	5.5 KB	1
66	cc/d2098d	65681862	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:PREPARE_REFERENCE_FILES:UNTAR (r1041_e82_400bps_sup_v420.tar.gz)	CACHED	0	2026-01-08 17:56:59.520	1m 16s	2.2s	68.0%	11.7 MB	23.9 MB	297.6 MB	232 MB	1
30	0f/31587b	65681833	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (CCS15-ONT)	CACHED	0	2026-01-08 17:53:09.521	8m 36s	7m 32s	239.5%	159.9 MB	616.1 MB	94.2 GB	667 B	2
35	c5/608f57	65681819	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (HG008-ONT)	CACHED	0	2026-01-08 17:51:09.518	2h 22m 11s	2h 21m 7s	1712.4%	44 GB	49.7 GB	1.2 TB	1.2 TB	24
31	0c/475257	65681834	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (CCS15-ONT)	CACHED	0	2026-01-08 17:53:19.532	5m 21s	4m 24s	301.6%	126.9 MB	488.1 MB	67.8 GB	687 B	2
32	1a/893f62	65681854	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:FIBERTOOLSRS_NUCLEOSOMES (CCS15-ONT)	CACHED	0	2026-01-08 17:56:09.729	7h 4m 46s	8m 59s	2328.6%	608.6 MB	5.2 GB	94.2 GB	97.9 GB	24
33	6a/506488	65681857	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:FIBERTOOLSRS_NUCLEOSOMES (CCS15-ONT)	CACHED	0	2026-01-08 17:56:29.523	7h 11m 46s	6m 16s	2302.3%	673.8 MB	5.3 GB	67.8 GB	70.6 GB	24
79	c1/064288	65682690	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (HG008-ONT)	CACHED	0	2026-01-08 20:13:49.920	13m 51s	13m 10s	109.7%	10.2 MB	208.4 MB	159.9 GB	5.4 KB	1
76	0d/782241	65682687	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (HG008-ONT)	CACHED	0	2026-01-08 20:13:21.089	8m 14s	7m 8s	396.6%	176.2 MB	553.4 MB	159.9 GB	686 B	2
36	f3/345c6c	65681818	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (HG008-ONT)	CACHED	0	2026-01-08 17:50:59.508	45m 11s	43m 58s	1627.8%	47.9 GB	54.7 GB	547.7 GB	565.7 GB	24
34	01/6d60fa	65681859	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:FIBERTOOLSRS_NUCLEOSOMES (CCS15-ONT-TO)	CACHED	0	2026-01-08 17:56:49.511	7h 20m 26s	6m 14s	2307.1%	684 MB	5.3 GB	67.8 GB	70.6 GB	24
78	6d/754640	65682689	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (HG008-ONT)	CACHED	0	2026-01-08 20:13:39.893	50.6s	0ms	28.1%	4.8 MB	10.3 MB	40.4 MB	93.9 KB	1
80	90/987315	65682692	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (HG008-ONT)	CACHED	0	2026-01-08 20:13:59.889	53m 26s	52m 55s	201.6%	10.5 GB	11 GB	159.9 GB	355.1 MB	6
136	30/bfff04	65684201	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:FIBERTOOLSRS_FIRE (CCS15-ONT)	CACHED	0	2026-01-09 01:08:16.265	1h 45m 25s	26m 30s	972.2%	2.5 GB	6.9 GB	70.6 GB	70.6 GB	24
37	1b/2e04a0	65681822	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MINIMAP2_ALIGN (COLO829-ONT)	CACHED	0	2026-01-08 17:51:39.551	4h 2m 51s	2h 30m 15s	1714.4%	45.1 GB	50.6 GB	1.3 TB	1.4 TB	24
71	d2/e3c52b	65682360	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (HG008-ONT)	CACHED	0	2026-01-08 18:36:19.666	1m 6s	0ms	63.3%	9.9 MB	14.8 MB	20.6 MB	93.4 KB	1
135	e0/f3d853	65684191	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:FIBERTOOLSRS_FIRE (CCS15-ONT)	CACHED	0	2026-01-09 01:00:56.263	1h 25m 5s	29m 56s	1391.5%	2.8 GB	7 GB	97.9 GB	98 GB	24
29	39/b8c653	65681832	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_PRE (CCS15-PB)	CACHED	0	2026-01-08 17:52:59.532	17m 16s	16m 1s	331.0%	110.7 MB	484.5 MB	319.4 GB	665 B	2
72	5d/7f2536	65682361	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (HG008-ONT)	CACHED	0	2026-01-08 18:36:29.651	6m 21s	5m 24s	112.7%	12.4 MB	208.4 MB	64.1 GB	5.4 KB	1
70	ab/eba3f3	65682359	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:CRAMINO_POST (HG008-ONT)	CACHED	0	2026-01-08 18:36:11.037	4m 19s	3m 3s	394.7%	85.6 MB	461.4 MB	64.1 GB	695 B	2
77	15/aed047	65682688	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (HG008-ONT)	CACHED	0	2026-01-08 20:13:29.890	4m 26s	3m 30s	504.5%	1.9 GB	2.4 GB	160.8 GB	2.9 MB	6
74	ec/9e7690	65682364	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:MOSDEPTH (HG008-ONT)	CACHED	0	2026-01-08 18:36:59.658	2m 1s	1m 33s	457.4%	1.9 GB	2.4 GB	64.8 GB	1.4 MB	6
75	06/d84a6f	65682363	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:BAM_STATS_SAMTOOLS:SAMTOOLS_STATS (HG008-ONT)	CACHED	0	2026-01-08 18:36:49.664	15m 36s	14m 58s	142.1%	4.6 GB	5 GB	64.1 GB	264.3 MB	6
148	8b/cb0112	65684349	INTGENOMICSLAB_LRSOMATIC:LRSOMATIC:FIBERTOOLSRS_QC (CCS15-ONT)	CACHED	0	2026-01-09 02:53:50.554	2h 1m 51s	5m 10s	857.1%	1.6 GB	3.7 GB	70.6 GB	18.8 MB	24
